"SiO2","TiO2","Al2O3","FeO","MnO","MgO","CaO","Na2O","K2O","P2O5","SO2","NiO","Cr2O3","Si","Ti","Al","Fe2","Mn","Mg","Ca","Na","K","Ph","S","Ni","Cr3","MgNum","CaNum","AlNum","Ca_Al","Si_sq","Si_Ti","InOPAMchull","ProbSat","State","T_degC","P_kbar","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18"
49.56,3.66,14.01,12.49,0.08,5.66,9.98,3.38,0.62,0.48,0.07,0,0,0.4672,0.026,0.1556,0.0985,0.0006,0.0795,0.1008,0.0619,0.0074,0.0019,0.0006,0,0,44.6629213483146,0.619545175169023,0.249839434810533,0.647814910025707,0.21827584,0.0121472,TRUE,0.901,"SAT",1148,2.76,"Stock et al., 2018","gl","17MMSG39d_1-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_1-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.25,3.7,13.48,12.73,0.26,5.94,9.93,3.49,0.67,0.48,0.03,0,0.04,0.4639,0.0262,0.1496,0.1003,0.002,0.0835,0.1002,0.0637,0.0081,0.0019,0.0003,0,0.0003,45.4298150163221,0.611348383160464,0.243846780766096,0.669786096256684,0.21520321,0.01215418,TRUE,0.888,"SAT",1159,3.28,"Stock et al., 2018","gl","17MMSG39d_1-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_1-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.74,3.61,14.05,12.27,0.24,5.59,10.1,3.11,0.69,0.51,0.06,0,0.03,0.47,0.0256,0.1564,0.097,0.0019,0.0787,0.1023,0.057,0.0083,0.002,0.0005,0,0.0003,44.7922595332954,0.642184557438795,0.249680715197957,0.654092071611253,0.2209,0.012032,TRUE,0.73,"SAT",1134,2.44,"Stock et al., 2018","gl","17MMSG39d_1-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_1-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.45,3.51,14.01,12.41,0.36,5.52,10.03,3.47,0.71,0.46,0.06,0,0.01,0.4658,0.0249,0.1556,0.0978,0.0029,0.0776,0.1012,0.0634,0.0086,0.0018,0.0005,0,0,44.2417331812999,0.614823815309842,0.250402317347924,0.65038560411311,0.21696964,0.01159842,TRUE,0.646,"SAT",1131,2.52,"Stock et al., 2018","gl","17MMSG39d_2-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_2-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.53,3.53,13.89,12.4,0.25,5.63,10.03,3.48,0.66,0.54,0.05,0,0,0.4666,0.025,0.1543,0.0977,0.002,0.079,0.1013,0.0636,0.008,0.0022,0.0004,0,0,44.708545557442,0.614311704063069,0.248510227089708,0.65651328580687,0.21771556,0.011665,TRUE,0.892,"SAT",1139,2.53,"Stock et al., 2018","gl","17MMSG39d_2-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_2-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.39,3.65,14.05,12.31,0.39,5.72,9.97,3.28,0.67,0.47,0.07,0,0.03,0.4659,0.0259,0.1562,0.0971,0.0031,0.0804,0.1007,0.0599,0.0081,0.0019,0.0006,0,0.0002,45.2957746478873,0.627023661270237,0.25108503456036,0.644686299615877,0.21706281,0.01206681,TRUE,0.89,"SAT",1131,3.11,"Stock et al., 2018","gl","17MMSG39d_2-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_2-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.74,3.61,14.08,11.04,0.2,6.12,11.04,3.05,0.53,0.5,0.07,0,0.03,0.468,0.0255,0.1561,0.0868,0.0016,0.0859,0.1113,0.0556,0.0064,0.002,0.0006,0,0.0002,49.7394325419803,0.666866387058119,0.250120173049191,0.713004484304933,0.219024,0.011934,TRUE,0.901,"SAT",1162,1.68,"Stock et al., 2018","gl","17MMSG39d_3-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_3-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50.62,3.54,14.46,11.29,0.2,5.63,10.02,2.92,0.79,0.47,0.07,0,0,0.4776,0.0251,0.1608,0.0891,0.0016,0.0791,0.1012,0.0534,0.0095,0.0019,0.0006,0,0,47.0273483947681,0.654592496765847,0.25187969924812,0.629353233830846,0.22810176,0.01198776,TRUE,0.24,"UNSAT",1132,2.43,"Stock et al., 2018","gl","17MMSG39d_3-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_3-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.47,3.59,13.97,12.39,0.3,5.64,9.94,3.45,0.64,0.49,0.1,0,0,0.4661,0.0255,0.1552,0.0976,0.0024,0.0792,0.1004,0.063,0.0077,0.002,0.0009,0,0,44.7963800904977,0.614443084455324,0.249798808948978,0.646907216494845,0.21724921,0.01188555,TRUE,0.895,"SAT",1132,2.83,"Stock et al., 2018","gl","17MMSG39d_3-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_3-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.6,3.66,13.99,12.32,0.13,5.58,10.03,3.46,0.66,0.48,0.02,0,0.05,0.4673,0.0259,0.1553,0.0971,0.0011,0.0784,0.1013,0.0632,0.0079,0.0019,0.0002,0,0.0004,44.6723646723647,0.61580547112462,0.249437841310633,0.65228589826143,0.21836929,0.01210307,TRUE,0.894,"SAT",1144,2.47,"Stock et al., 2018","gl","17MMSG39d_3-4",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_3-4",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
