Sample,Type,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,NiO,SrO,BaO,Cr2O3
17MMSG39d_1-1,Gl,47.9411,3.5439,13.5514,12.0867,0.0776,5.4731,9.6515,3.2745,0.5954,0.4687,0.0654,,,,0.0045
17MMSG39d_1-2,Gl,47.9396,3.6045,13.1196,12.3901,0.2498,5.7851,9.6647,3.3936,0.6563,0.4679,0.0282,,,,0.0383
17MMSG39d_1-3,Gl,49.575,3.5959,14.0031,12.2298,0.2426,5.5706,10.0692,3.0997,0.6835,0.5068,0.0594,,,,0.0334
17MMSG39d_2-1,Gl,48.162,3.4159,13.6471,12.0885,0.351,5.3794,9.7664,3.3786,0.6951,0.4445,0.0564,,,,0.0057
17MMSG39d_2-2,Gl,49.8829,3.553,13.9916,12.4884,0.2494,5.6658,10.1027,3.506,0.6691,0.549,0.046,,,,
17MMSG39d_2-3,Gl,47.4385,3.5059,13.4976,11.8245,0.3744,5.4924,9.5746,3.1457,0.6459,0.4555,0.0654,,,,0.0237
17MMSG39d_3-1,Gl,49.7062,3.6051,14.0718,11.0287,0.2025,6.1201,11.0308,3.0455,0.5288,0.5019,0.0665,,,,0.0335
17MMSG39d_3-2,Gl,49.4157,3.4555,14.1168,11.0263,0.1904,5.492,9.7781,2.8526,0.7741,0.4551,0.0658,,,,0.004
17MMSG39d_3-3,Gl,49.7744,3.6147,14.0584,12.4648,0.2987,5.6731,10.0045,3.4708,0.6486,0.4967,0.1046,,,,
17MMSG39d_3-4,Gl,49.3028,3.6357,13.9071,12.2481,0.1333,5.5479,9.9726,3.4421,0.6525,0.4822,0.0211,,,,0.0502
17MMSG39d_3-5,Gl,48.2808,3.5159,13.5786,12.0757,0.3049,5.5002,9.6486,3.4268,0.6831,0.4483,0.0615,,,,
17MMSG39d_4-1,Gl,49.1981,3.6309,13.9582,12.4378,0.1308,5.739,9.9603,3.5487,0.6839,0.4535,0.0569,,,,
17MMSG39d_4-2,Gl,50.0354,3.675,13.9251,11.6587,0.3355,5.5984,9.6807,3.3471,0.6135,0.4917,0.0525,,,,
17MMSG39d_4-3,Gl,49.3659,3.6685,13.9145,12.1513,0.2352,5.5671,9.8941,3.2552,0.6728,0.5185,0.0422,,,,0.0149
17MMSG39d_4-4,Gl,49.1112,3.6349,13.8839,12.7118,0.2337,5.5911,9.9607,3.2998,0.6943,0.5265,0.0474,,,,
17MMSG39d_4-5,Gl,50.4013,3.6566,13.9149,12.4295,0.1478,5.6284,10.0995,3.4115,0.6733,0.4854,0.0333,,,,0.0306
17MMSG39d_5-1,Gl,48.9024,3.5608,13.8851,12.2184,0.1418,5.5417,9.8196,3.252,0.7337,0.4297,0.0697,,,,0.0374
17MMSG39d_5-2,Gl,49.8463,3.6023,14.0699,12.3543,0.1094,5.7382,10.1025,3.3815,0.628,0.4486,0.0514,,,,0.02
17MMSG39d_5-3,Gl,48.9634,3.5951,13.9335,12.3259,0.3417,5.6333,10.1338,3.3947,0.7216,0.4931,0.065,,,,0.0311
17MMSG39d_5-4,Gl,49.7261,3.6524,14.0687,12.3875,0.1429,5.7261,9.883,3.3545,0.67,0.4427,0.0746,,,,
17MMSG39d_5-5,Gl,49.3757,3.5497,14.0279,12.3709,0.2655,5.7685,10.1184,3.4637,0.6996,0.4692,0.0781,,,,0.0221
17MMSG39m_a1,Gl,48.6298,3.5979,13.2617,12.0549,0.3202,5.8633,9.9747,3.2638,0.7414,0.4844,0.0135,,,,0.0144
17MMSG39m_a2,Gl,48.7869,3.5243,13.3944,12.5243,0.2524,5.363,9.8907,3.4169,0.6682,0.5022,0.0246,,,,0.0148
17MMSG39m_a3,Gl,49.0176,3.5955,13.2126,12.4397,0.2355,4.9802,9.6489,2.9481,0.7233,0.4707,0.0327,,,,
17MMSG39m_a4,Gl,49.2906,3.5801,13.4469,12.3517,0.1329,5.6415,9.7859,3.5136,0.6476,0.5264,0.0332,,,,
17MMSG39m_a5,Gl,48.4809,3.5232,13.4457,12.6586,0.1277,5.3512,9.8616,3.3137,0.7385,0.4654,0.041,,,,
17MMSG39m_b1,Gl,48.4043,3.6076,13.5483,11.4622,0.2311,5.9568,10.3998,4.0221,0.7036,0.5073,0.0295,,,,
17MMSG39m_b2,Gl,48.9301,3.555,13.563,11.8385,0.252,5.4285,9.8535,3.8242,0.711,0.4749,0.0319,,,,0.0009
17MMSG39m_b3,Gl,49.3656,3.5234,13.6529,11.7903,0.2524,5.3191,9.5995,3.7559,0.7321,0.4799,0.0411,,,,0.0078
17MMSG39m_b4,Gl,48.3799,3.5768,13.6172,12.3133,0.2834,5.2389,10.0149,3.3466,0.6544,0.4633,0.0336,,,,0.0405
17MMSG39m_b5,Gl,48.5757,3.5592,13.6661,11.404,0.2011,4.9635,10.2977,3.5482,0.6897,0.4813,0.0409,,,,0.0274
17MMSG39m_c1,Gl,48.4925,3.5735,13.5674,12.4434,0.1281,5.4923,9.8048,3.4285,0.6501,0.4702,0.0357,,,,0.0072
17MMSG39m_c2,Gl,48.3017,3.6478,13.5179,12.2831,0.2238,5.5531,9.669,3.5851,0.6093,0.491,0.0426,,,,0.0425
17MMSG39m_c3,Gl,48.3362,3.4843,13.4966,12.3497,0.3846,5.3532,9.8795,3.4944,0.659,0.4589,0.0331,,,,
17MMSG39m_c4,Gl,48.4276,3.5806,13.5682,12.5706,0.1623,5.435,9.8358,3.674,0.6958,0.46,0.0416,,,,
17MMSG39m_c5,Gl,48.1157,3.5652,13.4973,12.3274,0.2597,5.4432,9.6632,3.5125,0.6764,0.44,0.0335,,,,
17MMSG39m_d1,Gl,48.61,3.5925,13.4461,12.4545,0.1281,5.4934,9.8684,3.4745,0.7106,0.4779,0.0341,,,,0.0199
17MMSG39m_d2,Gl,47.9751,3.5163,13.3219,12.1732,0.2451,5.3036,9.8221,3.3978,0.6739,0.4237,0.037,,,,0.0044
17MMSG39m_d3,Gl,48.4226,3.574,13.4909,12.3606,0.0739,5.6746,9.9651,3.4599,0.6141,0.4659,0.0312,,,,0.0274
17MMSG39m_d4,Gl,48.7925,3.5139,13.579,12.6446,0.2054,5.3805,9.7662,3.6639,0.6952,0.4414,0.0293,,,,0.0024
17MMSG39m_d5,Gl,48.6254,3.5252,13.4457,12.2888,0.2588,5.428,9.7804,3.4841,0.668,0.4895,0.0414,,,,0.0085
17MMSG39m_e1,Gl,48.3059,3.4156,13.4624,12.1642,0.1712,5.6203,9.8737,3.3319,0.6643,0.4334,0.0499,,,,
17MMSG39m_e2,Gl,49.0996,3.4287,13.5645,12.3444,0.2085,5.5994,10.0338,3.5077,0.6945,0.4489,0.0434,,,,0.0043
17MMSG39m_e3,Gl,48.4309,3.4492,13.4576,12.1331,0.1932,4.8786,9.927,3.4112,0.6485,0.4544,0.0327,,,,0.0461
17MMSG39m_e4,Gl,48.2906,3.4398,13.6715,12.3841,0.3414,5.7765,9.8091,3.4282,0.6798,0.4397,0.0524,,,,0.0152
17MMSG39m_e5,Gl,48.371,3.4634,13.6325,12.1119,0.0895,5.6337,9.8516,3.5523,0.6995,0.4446,0.0409,,,,
17MMSG39m_f1,Gl,48.6954,3.658,13.6257,12.4472,0.2601,5.5198,9.6709,3.5715,0.6171,0.4412,0.0242,,,,
17MMSG39m_f2,Gl,48.277,3.5222,13.5665,12.4044,0.1858,5.3402,9.9544,3.517,0.689,0.4687,0.0389,,,,0.0235
17MMSG39m_f3,Gl,48.7266,3.5739,13.6422,12.3038,0.1622,5.5752,9.7791,3.4565,0.6557,0.4838,0.0432,,,,0.0083
17MMSG39m_f4,Gl,48.2838,3.5466,13.3535,12.2301,0.2887,5.4316,9.7633,3.2279,0.6398,0.475,0.0397,,,,0.0041
17MMSG39m_f5,Gl,48.3025,3.5655,13.5127,12.6009,0.1644,5.5527,10.0414,3.4377,0.6804,0.474,0.0303,,,,
